,index,site_id,n_obs,rmse_ealstm,rmse_xgboost,rmse_lm
0,0,nhdhr_48794466,1,0.4346733093261719,0.3621368408203125,0.9044335773539842
1,0,nhdhr_49234425,1,2.4892635345458984,0.18058204650878906,1.8888611287806327
2,0,nhdhr_112050779,22,0.6709662451331135,1.2111711363057098,2.1627068579249893
3,0,nhdhr_48802158,1,1.3834037780761719,2.333740234375,3.8709521424134152
4,0,nhdhr_26059064,1,2.927597732543944,3.7078082275390614,3.321931576694709
5,0,nhdhr_112029563,3,1.455145961233766,2.71673411752247,2.2266035755508926
6,0,nhdhr_107777679,1,0.6014289855957031,1.3439159393310547,0.9911441185858507
7,0,nhdhr_117035503,1,0.7783603668212891,0.26659393310546875,0.2647590195672649
8,0,nhdhr_81002917,18,1.1927066618808053,2.100374002002251,2.7194551324568685
9,0,nhdhr_80995375,1,1.8470364379882795,2.0257092285156233,1.8582203713772998
10,0,nhdhr_112027809,51,1.0397764487175372,1.4599810414437693,1.931332247797084
11,0,nhdhr_34126978,85,2.3726686778910766,2.507207445798878,2.877791274507537
12,0,nhdhr_129951126,7,3.8940872687467594,2.950889791464191,3.575445236569512
13,0,nhdhr_68032029,1,2.0113941192626967,2.305530166625978,1.4673958184236895
14,0,nhdhr_155642710,1,1.2942428588867188,0.7449817657470703,1.6218455994411158
15,0,nhdhr_58673397,1,0.24242286682128977,2.4200904846191413,2.8301317021324515
16,0,nhdhr_120020241,1,1.5046077728271499,1.4885250091552749,1.4238843832918846
17,0,nhdhr_61762185,5,1.1656576104889484,2.526754905882349,2.8299905318945453
18,0,nhdhr_114545041,5,0.34333765808110744,2.2347678717428234,2.7159848233248978
19,0,nhdhr_129755296,1,1.477730560302735,3.045479583740235,1.8641982258962635
20,0,nhdhr_155642096,1,2.5417541503906236,4.332216644287108,5.0328721012290245
21,0,nhdhr_148191482,1,1.6332814025878903,0.07480972290039034,2.556397817785374
22,0,nhdhr_152804873,1,0.8418659210205064,0.06964912414550639,0.6892268818651885
23,0,nhdhr_96070303,1,0.20679130554199077,0.4094928741455064,1.4496576826603516
24,0,nhdhr_122169687,2,1.7142611499228497,0.305367538750328,0.9733149821980047
25,0,nhdhr_63026399,1,0.322124862670897,4.741821670532225,3.4343087124398934
26,0,nhdhr_139259937,28,0.9380586607609206,1.6622832183941965,2.2588096187789413
27,0,nhdhr_41218869,3,1.2796869633968202,1.1937716321762664,2.0319009633167306
28,0,nhdhr_58675579,1,0.4705909729003892,0.3707946777343736,0.6742660321597995
29,0,nhdhr_133703000,7,0.9021169402598078,1.5986664445234076,1.6407259765001079
30,0,nhdhr_112046427,3,0.9031799711466328,2.003943570344177,1.7626365049432702
31,0,nhdhr_107742889,1,0.18485260009765625,1.2906455993652344,0.32087415335823266
32,0,nhdhr_112643304,1,1.189415359497069,1.436739349365233,2.1620387911516374
33,0,nhdhr_112033425,1,0.3304994964599608,0.24885353088378892,0.5916265459333623
34,0,nhdhr_114540959,5,3.178216907398633,3.6552749725074345,2.940787061337363
35,0,nhdhr_78200607,2,0.7149082177462538,1.2554727290355097,1.512696171697601
36,0,nhdhr_91691379,71,2.1550678368077034,2.9629706263689974,3.3161854421688073
37,0,nhdhr_112647326,1,0.03682548522949247,0.6396290588378903,1.6126856727523702
38,0,nhdhr_68758344,13,1.152414846330103,2.3937684401479173,2.323860934813425
39,0,nhdhr_114336515,1,0.6710176849365226,1.3181143188476554,0.05340012632085944
40,0,nhdhr_{48E6E3F2-BF7B-4314-9FA3-1CFAFD929DD2},2,1.0739903235327264,1.8936166830508372,3.3392355244149785
