,index,site_id,n_obs,rmse_ealstm,rmse_xgboost,rmse_lm
0,0,nhdhr_48794466,1,0.7907276153564453,0.4947357177734375,0.9044335773539842
1,0,nhdhr_49234425,1,1.235708236694336,0.7665519714355469,1.8888611287806327
2,0,nhdhr_112050779,22,0.6143975291870959,1.2111711363057098,2.1627068579249893
3,0,nhdhr_48802158,1,0.7973861694335938,2.333740234375,3.8709521424134152
4,0,nhdhr_26059064,1,0.49957153320312386,3.7078082275390614,3.321931576694709
5,0,nhdhr_112029563,3,0.9989675314999646,2.71673411752247,2.2266035755508926
6,0,nhdhr_107777679,1,1.0709247589111328,0.7750301361083984,0.9911441185858507
7,0,nhdhr_117035503,1,0.3278961181640625,0.26659393310546875,0.2647590195672649
8,0,nhdhr_81002917,18,1.0747627482101887,1.8221398162173703,2.7194551324568685
9,0,nhdhr_80995375,1,0.1841448974609392,2.0257092285156233,1.8582203713772998
10,0,nhdhr_112027809,51,0.9169700553448237,1.4599810414437693,1.931332247797084
11,0,nhdhr_34126978,85,2.126071193865542,2.507207445798878,2.877791274507537
12,0,nhdhr_129951126,7,3.6464473871414222,2.950889791464191,3.575445236569512
13,0,nhdhr_68032029,1,2.1314121246337905,2.305530166625978,1.4673958184236895
14,0,nhdhr_155642710,1,0.04773139953613281,0.7449817657470703,1.6218455994411158
15,0,nhdhr_58673397,1,0.8367069244384773,2.4200904846191413,2.8301317021324515
16,0,nhdhr_120020241,1,1.6230789184570327,1.4885250091552749,1.4238843832918846
17,0,nhdhr_61762185,5,0.5849679477920088,2.4332683827790174,2.8299905318945453
18,0,nhdhr_114545041,5,0.8543649756898958,2.2347678717428234,2.7159848233248978
19,0,nhdhr_129755296,1,0.9870250701904304,3.045479583740235,1.8641982258962635
20,0,nhdhr_155642096,1,2.6768974304199205,4.332216644287108,5.0328721012290245
21,0,nhdhr_148191482,1,1.3330857086181638,0.07480972290039034,2.556397817785374
22,0,nhdhr_152804873,1,0.4597267150878892,0.06964912414550639,0.6892268818651885
23,0,nhdhr_96070303,1,0.6186985015869126,0.4094928741455064,1.4496576826603516
24,0,nhdhr_122169687,2,2.0719114961959577,0.35635940232961144,0.9733149821980047
25,0,nhdhr_63026399,1,0.11210212707519673,4.858496093749999,3.4343087124398934
26,0,nhdhr_139259937,28,1.0314108725714854,1.6622832183941965,2.2588096187789413
27,0,nhdhr_41218869,3,0.6086540715995797,1.0265187690432933,2.0319009633167306
28,0,nhdhr_58675579,1,0.34075775146484233,0.3707946777343736,0.6742660321597995
29,0,nhdhr_133703000,7,0.8779826612923789,1.7003922545716912,1.6407259765001079
30,0,nhdhr_112046427,3,0.5251458162964835,2.003943570344177,1.7626365049432702
31,0,nhdhr_107742889,1,0.9731025695800781,1.355947494506836,0.32087415335823266
32,0,nhdhr_112643304,1,1.5303081512451158,1.436739349365233,2.1620387911516374
33,0,nhdhr_112033425,1,0.40004142761230455,0.24885353088378892,0.5916265459333623
34,0,nhdhr_114540959,5,2.690963558703046,3.6552749725074345,2.940787061337363
35,0,nhdhr_78200607,2,1.4081795880659018,1.1115554162676222,1.512696171697601
36,0,nhdhr_91691379,71,2.13181426358672,2.890911159241283,3.3161854421688073
37,0,nhdhr_112647326,1,0.23772590637207003,0.6396290588378903,1.6126856727523702
38,0,nhdhr_68758344,13,1.2563472235498558,2.3937684401479173,2.323860934813425
39,0,nhdhr_114336515,1,0.027304687499999147,1.007399597167968,0.05340012632085944
40,0,nhdhr_{48E6E3F2-BF7B-4314-9FA3-1CFAFD929DD2},2,1.068266589873897,1.8936166830508372,3.3392355244149785
41,0,nhdhr_107832143,1,0.6951249694824213,0.9943803405761713,1.8879583011092649
42,0,nhdhr_{22431A17-1807-4885-BFD8-2BF53521E448},2,0.7718822917411958,1.941842283205867,2.347550184372937
43,0,nhdhr_34126462,77,1.9604218020792459,2.3045292449867514,2.597812671995281
44,0,nhdhr_107742879,1,1.9466079711914048,1.9898227691650376,2.5690848425442354
45,0,nhdhr_112691380,2,1.1501561652996344,1.1501463799689464,1.6208659925235136
46,0,nhdhr_41964089,18,0.8922017108617294,1.2001278042469385,1.485281648460621
47,0,nhdhr_117034847,1,1.3927976226806642,1.0635644531250001,0.3847337950225018
48,0,nhdhr_129754828,2,1.047943716732333,3.0216490044597837,3.386345144285067
49,0,nhdhr_136693185,13,3.295885299863478,2.9994597234020657,4.086541138162652
