,Median lake-specific RMSE,Overall RMSE,Lakes <10 ha Median RMSE (n=1946),Lakes 10-100 ha Median RMSE (n=6707),Lakes 100-1000 ha Median RMSE (n=2949),Lakes > 1000 ha Median RMSE (n=685),"Median Bias (0-10 deg C obs) (28,196 obs)","Median Bias (10-20 deg C obs) (98,298 obs)","Median Bias (20-30 deg C obs) (170,114 obs)","Median Bias (30-40 deg C obs) (15,451 obs)"
EA-LSTM,1.241276251137599,1.605767115243439,1.2425422668456996,1.1780591376870682,1.2720308707547552,1.6057241250282608,0.38272833824157715,0.29040336608887074,0.10271835327148438,-0.08045959472655895
ERA5*,1.7734332636200676,2.240305524633777,1.7453305386177294,1.7323386171737067,1.8042048127705037,2.0312317487177283,1.070413173885842,0.11492320259566391,-0.030457034328465582,0.2787332820830386
ERA5,4.00446311828645,4.113076380213078,3.779831714549941,4.0738173193963725,4.008563239619521,3.699189030062862,-2.389586826114158,-3.345076797404337,-3.4904570343284664,-3.1812667179169623
LM,2.004558264217393,2.3417150930443573,1.698047612630218,1.9767139119322652,2.10106160993226,2.129110799415005,6.4412653110123586,2.2054653318276527,-0.3825672217663474,-0.5345921907813285
